2025-12-25 23:29:58,051 INFO    MainThread:2364 [wandb_setup.py:_flush():68] Configure stats pid to 2364
2025-12-25 23:29:58,052 INFO    MainThread:2364 [wandb_setup.py:_flush():68] Loading settings from C:\Users\lvcha\.config\wandb\settings
2025-12-25 23:29:58,052 INFO    MainThread:2364 [wandb_setup.py:_flush():68] Loading settings from D:\users\lvcha\Documents\万恶之源研究生版\毕业相关\多模块\MMSD2.0\wandb\settings
2025-12-25 23:29:58,052 INFO    MainThread:2364 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2025-12-25 23:29:58,052 INFO    MainThread:2364 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'src\\main.py', 'program': 'src/main.py'}
2025-12-25 23:29:58,052 INFO    MainThread:2364 [wandb_init.py:_log_setup():476] Logging user logs to D:\users\lvcha\Documents\万恶之源研究生版\毕业相关\多模块\MMSD2.0\wandb\run-20251225_232958-ift44fza\logs\debug.log
2025-12-25 23:29:58,052 INFO    MainThread:2364 [wandb_init.py:_log_setup():477] Logging internal logs to D:\users\lvcha\Documents\万恶之源研究生版\毕业相关\多模块\MMSD2.0\wandb\run-20251225_232958-ift44fza\logs\debug-internal.log
2025-12-25 23:29:58,053 INFO    MainThread:2364 [wandb_init.py:init():516] calling init triggers
2025-12-25 23:29:58,053 INFO    MainThread:2364 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {'model_name': 'RCLMFN', 'dataset': 'MMSD2.0', 'data_dir': 'data/text_json_final', 'image_dir': 'data/dataset_image', 'save_dir': 'checkpoints', 'num_epochs': 20, 'batch_size': 16, 'learning_rate': 2e-05, 'weight_decay': 0.01, 'warmup_ratio': 0.1, 'max_grad_norm': 1.0, 'dropout_rate': 0.1, 'save_epoch': 5, 'log_step': 100, 'use_wandb': True, 'label_number': 2, 'text_size': 512, 'image_size': 768, 'layers': 2, 'simple_linear': False, 'hidden_size': 768, 'num_heads': 4, 'fusion_layers': 2, 'max_seq_length': 64, 'optimizer': 'AdamW', 'schedule': 'linear', 'device': '0', 'seed': 42, 'test_only': False, 'test_model_path': ''}
2025-12-25 23:29:58,053 INFO    MainThread:2364 [wandb_init.py:init():569] starting backend
2025-12-25 23:29:58,053 INFO    MainThread:2364 [wandb_init.py:init():573] setting up manager
2025-12-25 23:29:58,055 INFO    MainThread:2364 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2025-12-25 23:29:58,058 INFO    MainThread:2364 [wandb_init.py:init():580] backend started and connected
2025-12-25 23:29:58,058 INFO    MainThread:2364 [wandb_init.py:init():658] updated telemetry
2025-12-25 23:29:58,101 INFO    MainThread:2364 [wandb_init.py:init():693] communicating run to backend with 30 second timeout
2025-12-25 23:30:03,798 INFO    MainThread:2364 [wandb_run.py:_on_init():1974] communicating current version
2025-12-25 23:30:06,828 INFO    MainThread:2364 [wandb_run.py:_on_init():1978] got version response 
2025-12-25 23:30:06,828 INFO    MainThread:2364 [wandb_init.py:init():727] starting run threads in backend
2025-12-25 23:30:10,665 INFO    MainThread:2364 [wandb_run.py:_console_start():1954] atexit reg
2025-12-25 23:30:10,665 INFO    MainThread:2364 [wandb_run.py:_redirect():1812] redirect: SettingsConsole.WRAP_RAW
2025-12-25 23:30:10,665 INFO    MainThread:2364 [wandb_run.py:_redirect():1877] Wrapping output streams.
2025-12-25 23:30:10,665 INFO    MainThread:2364 [wandb_run.py:_redirect():1899] Redirects installed.
2025-12-25 23:30:10,665 INFO    MainThread:2364 [wandb_init.py:init():764] run started, returning control to user process
2025-12-25 23:45:58,816 WARNING MsgRouterThr:2364 [router.py:message_loop():77] message_loop has been closed
